Arquitectura,Config,Parametros,Tiempo entrenamiento (s),Test accuracy,Test precision,Test recall,Test F1
MLP,M4,235914,18.645601272583008,0.9796,0.9797386493021836,0.9793957793993948,0.9795185129372941
CNN,C5,207018,125.10671520233154,0.9886,0.988627140972195,0.988528838255195,0.9885367561487269
